day,time,tidal_range
29-Jun-19,22:59:59,0.3481
29-Jun-19,23:59:59,0.3593
30-Jun-19,0:59:59,0.2785
30-Jun-19,1:59:59,0.1255
30-Jun-19,2:59:59,-0.0613
30-Jun-19,3:59:59,-0.2358
30-Jun-19,4:59:59,-0.3572
30-Jun-19,5:59:59,-0.3979
30-Jun-19,6:59:59,-0.3482
30-Jun-19,7:59:59,-0.2183
30-Jun-19,8:59:59,-0.037
30-Jun-19,9:59:59,0.152
30-Jun-19,10:59:59,0.3005
30-Jun-19,11:59:59,0.369
30-Jun-19,12:59:59,0.3394
30-Jun-19,13:59:59,0.2212
30-Jun-19,14:59:59,0.0481
30-Jun-19,15:59:59,-0.1328
30-Jun-19,16:59:59,-0.2753
30-Jun-19,17:59:59,-0.3442
30-Jun-19,18:59:59,-0.3226
30-Jun-19,19:59:59,-0.2139
30-Jun-19,20:59:59,-0.0425
30-Jun-19,21:59:59,0.1501
30-Jun-19,22:59:59,0.3136
30-Jun-19,23:59:59,0.4022
1-Jul-19,0:59:59,0.3885
1-Jul-19,1:59:59,0.2732
1-Jul-19,2:59:59,0.0852
1-Jul-19,3:59:59,-0.1275
1-Jul-19,4:59:59,-0.3123
1-Jul-19,5:59:59,-0.4252
1-Jul-19,6:59:59,-0.4402
1-Jul-19,7:59:59,-0.3532
1-Jul-19,8:59:59,-0.183
1-Jul-19,9:59:59,0.0312
1-Jul-19,10:59:59,0.2375
1-Jul-19,11:59:59,0.3827
1-Jul-19,12:59:59,0.4285
1-Jul-19,13:59:59,0.3629
1-Jul-19,14:59:59,0.205
1-Jul-19,15:59:59,-0.0014
1-Jul-19,16:59:59,-0.2016
1-Jul-19,17:59:59,-0.345
1-Jul-19,18:59:59,-0.3971
1-Jul-19,19:59:59,-0.3453
1-Jul-19,20:59:59,-0.2014
1-Jul-19,21:59:59,0.0008
1-Jul-19,22:59:59,0.2111
1-Jul-19,23:59:59,0.3738
2-Jul-19,0:59:59,0.4429
2-Jul-19,1:59:59,0.3965
2-Jul-19,2:59:59,0.2444
2-Jul-19,3:59:59,0.0258
2-Jul-19,4:59:59,-0.2033
2-Jul-19,5:59:59,-0.3857
2-Jul-19,6:59:59,-0.4778
2-Jul-19,7:59:59,-0.458
2-Jul-19,8:59:59,-0.3304
2-Jul-19,9:59:59,-0.1234
2-Jul-19,10:59:59,0.1145
2-Jul-19,11:59:59,0.325
2-Jul-19,12:59:59,0.4539
2-Jul-19,13:59:59,0.4669
2-Jul-19,14:59:59,0.3611
2-Jul-19,15:59:59,0.166
2-Jul-19,16:59:59,-0.0655
2-Jul-19,17:59:59,-0.2732
2-Jul-19,18:59:59,-0.4056
2-Jul-19,19:59:59,-0.4318
2-Jul-19,20:59:59,-0.3464
2-Jul-19,21:59:59,-0.17
2-Jul-19,22:59:59,0.0545
2-Jul-19,23:59:59,0.2705
3-Jul-19,0:59:59,0.4202
3-Jul-19,1:59:59,0.4611
3-Jul-19,2:59:59,0.3791
3-Jul-19,3:59:59,0.1942
3-Jul-19,4:59:59,-0.0453
3-Jul-19,5:59:59,-0.2776
3-Jul-19,6:59:59,-0.4444
3-Jul-19,7:59:59,-0.5058
3-Jul-19,8:59:59,-0.4474
3-Jul-19,9:59:59,-0.2821
3-Jul-19,10:59:59,-0.0477
3-Jul-19,11:59:59,0.2005
3-Jul-19,12:59:59,0.4014
3-Jul-19,13:59:59,0.5031
3-Jul-19,14:59:59,0.4786
3-Jul-19,15:59:59,0.3348
3-Jul-19,16:59:59,0.1111
3-Jul-19,17:59:59,-0.1331
3-Jul-19,18:59:59,-0.3352
3-Jul-19,19:59:59,-0.4467
3-Jul-19,20:59:59,-0.4427
3-Jul-19,21:59:59,-0.326
3-Jul-19,22:59:59,-0.1258
3-Jul-19,23:59:59,0.1086
4-Jul-19,0:59:59,0.3172
4-Jul-19,1:59:59,0.444
4-Jul-19,2:59:59,0.4526
4-Jul-19,3:59:59,0.3381
4-Jul-19,4:59:59,0.13
4-Jul-19,5:59:59,-0.1169
4-Jul-19,6:59:59,-0.3383
4-Jul-19,7:59:59,-0.4789
4-Jul-19,8:59:59,-0.5049
4-Jul-19,9:59:59,-0.4103
4-Jul-19,10:59:59,-0.2166
4-Jul-19,11:59:59,0.0318
4-Jul-19,12:59:59,0.276
4-Jul-19,13:59:59,0.4556
4-Jul-19,14:59:59,0.5243
4-Jul-19,15:59:59,0.4638
4-Jul-19,16:59:59,0.2904
4-Jul-19,17:59:59,0.0509
4-Jul-19,18:59:59,-0.192
4-Jul-19,19:59:59,-0.3775
4-Jul-19,20:59:59,-0.4625
4-Jul-19,21:59:59,-0.4298
4-Jul-19,22:59:59,-0.2899
4-Jul-19,23:59:59,-0.0783
5-Jul-19,0:59:59,0.1524
5-Jul-19,1:59:59,0.3427
5-Jul-19,2:59:59,0.4413
5-Jul-19,3:59:59,0.4195
5-Jul-19,4:59:59,0.2813
5-Jul-19,5:59:59,0.0631
5-Jul-19,6:59:59,-0.1768
5-Jul-19,7:59:59,-0.3759
5-Jul-19,8:59:59,-0.4846
5-Jul-19,9:59:59,-0.4769
5-Jul-19,10:59:59,-0.3548
5-Jul-19,11:59:59,-0.1459
5-Jul-19,12:59:59,0.1017
5-Jul-19,13:59:59,0.3295
5-Jul-19,14:59:59,0.4811
5-Jul-19,15:59:59,0.5173
5-Jul-19,16:59:59,0.4284
5-Jul-19,17:59:59,0.2382
5-Jul-19,18:59:59,-0.0027
5-Jul-19,19:59:59,-0.2322
5-Jul-19,20:59:59,-0.3944
5-Jul-19,21:59:59,-0.4532
5-Jul-19,22:59:59,-0.3989
5-Jul-19,23:59:59,-0.2478
6-Jul-19,0:59:59,-0.0382
6-Jul-19,1:59:59,0.1774
6-Jul-19,2:59:59,0.3432
6-Jul-19,3:59:59,0.4142
6-Jul-19,4:59:59,0.3696
6-Jul-19,5:59:59,0.2201
6-Jul-19,6:59:59,0.0061
6-Jul-19,7:59:59,-0.215
6-Jul-19,8:59:59,-0.3855
6-Jul-19,9:59:59,-0.4631
6-Jul-19,10:59:59,-0.4295
6-Jul-19,11:59:59,-0.2925
6-Jul-19,12:59:59,-0.0832
6-Jul-19,13:59:59,0.151
6-Jul-19,14:59:59,0.3547
6-Jul-19,15:59:59,0.4776
6-Jul-19,16:59:59,0.4878
6-Jul-19,17:59:59,0.3824
6-Jul-19,18:59:59,0.1896
6-Jul-19,19:59:59,-0.0401
6-Jul-19,20:59:59,-0.2484
6-Jul-19,21:59:59,-0.3863
6-Jul-19,22:59:59,-0.4248
6-Jul-19,23:59:59,-0.3597
7-Jul-19,0:59:59,-0.2102
7-Jul-19,1:59:59,-0.0139
7-Jul-19,2:59:59,0.1798
7-Jul-19,3:59:59,0.3208
7-Jul-19,4:59:59,0.3707
7-Jul-19,5:59:59,0.3146
7-Jul-19,6:59:59,0.1674
7-Jul-19,7:59:59,-0.0307
7-Jul-19,8:59:59,-0.2261
7-Jul-19,9:59:59,-0.3679
7-Jul-19,10:59:59,-0.4214
7-Jul-19,11:59:59,-0.374
7-Jul-19,12:59:59,-0.2366
7-Jul-19,13:59:59,-0.0394
7-Jul-19,14:59:59,0.1732
7-Jul-19,15:59:59,0.3513
7-Jul-19,16:59:59,0.4507
7-Jul-19,17:59:59,0.4457
7-Jul-19,18:59:59,0.3373
7-Jul-19,19:59:59,0.1542
7-Jul-19,20:59:59,-0.056
7-Jul-19,21:59:59,-0.2413
7-Jul-19,22:59:59,-0.3595
7-Jul-19,23:59:59,-0.3874
8-Jul-19,0:59:59,-0.3235
8-Jul-19,1:59:59,-0.1862
8-Jul-19,2:59:59,-0.0099
8-Jul-19,3:59:59,0.1614
8-Jul-19,4:59:59,0.2833
8-Jul-19,5:59:59,0.3224
8-Jul-19,6:59:59,0.2675
8-Jul-19,7:59:59,0.1338
8-Jul-19,8:59:59,-0.0415
8-Jul-19,9:59:59,-0.2107
8-Jul-19,10:59:59,-0.3302
8-Jul-19,11:59:59,-0.3708
8-Jul-19,12:59:59,-0.3232
8-Jul-19,13:59:59,-0.1976
8-Jul-19,14:59:59,-0.0207
8-Jul-19,15:59:59,0.1682
8-Jul-19,16:59:59,0.3251
8-Jul-19,17:59:59,0.4108
8-Jul-19,18:59:59,0.4028
8-Jul-19,19:59:59,0.3029
8-Jul-19,20:59:59,0.1374
8-Jul-19,21:59:59,-0.0512
8-Jul-19,22:59:59,-0.2174
8-Jul-19,23:59:59,-0.3246
9-Jul-19,0:59:59,-0.3528
9-Jul-19,1:59:59,-0.2998
9-Jul-19,2:59:59,-0.1807
9-Jul-19,3:59:59,-0.0247
9-Jul-19,4:59:59,0.1296
9-Jul-19,5:59:59,0.2421
9-Jul-19,6:59:59,0.2823
9-Jul-19,7:59:59,0.2391
9-Jul-19,8:59:59,0.1252
9-Jul-19,9:59:59,-0.0268
9-Jul-19,10:59:59,-0.1757
9-Jul-19,11:59:59,-0.2834
9-Jul-19,12:59:59,-0.324
9-Jul-19,13:59:59,-0.2879
9-Jul-19,14:59:59,-0.1817
9-Jul-19,15:59:59,-0.0271
9-Jul-19,16:59:59,0.1424
9-Jul-19,17:59:59,0.2869
9-Jul-19,18:59:59,0.3699
9-Jul-19,19:59:59,0.3693
9-Jul-19,20:59:59,0.2849
9-Jul-19,21:59:59,0.1388
9-Jul-19,22:59:59,-0.0321
9-Jul-19,23:59:59,-0.1873
10-Jul-19,0:59:59,-0.2938
10-Jul-19,1:59:59,-0.3311
10-Jul-19,2:59:59,-0.2941
10-Jul-19,3:59:59,-0.1928
10-Jul-19,4:59:59,-0.0513
10-Jul-19,5:59:59,0.0957
10-Jul-19,6:59:59,0.21
10-Jul-19,7:59:59,0.2609
10-Jul-19,8:59:59,0.2351
10-Jul-19,9:59:59,0.1412
10-Jul-19,10:59:59,0.0066
10-Jul-19,11:59:59,-0.1322
10-Jul-19,12:59:59,-0.2402
10-Jul-19,13:59:59,-0.2918
10-Jul-19,14:59:59,-0.2741
10-Jul-19,15:59:59,-0.1888
10-Jul-19,16:59:59,-0.052
10-Jul-19,17:59:59,0.1066
10-Jul-19,18:59:59,0.2492
10-Jul-19,19:59:59,0.339
10-Jul-19,20:59:59,0.3516
10-Jul-19,21:59:59,0.2834
10-Jul-19,22:59:59,0.1523
10-Jul-19,23:59:59,-0.0091
11-Jul-19,0:59:59,-0.1634
11-Jul-19,1:59:59,-0.2773
11-Jul-19,2:59:59,-0.3282
11-Jul-19,3:59:59,-0.3061
11-Jul-19,4:59:59,-0.2162
11-Jul-19,5:59:59,-0.079
11-Jul-19,6:59:59,0.072
11-Jul-19,7:59:59,0.1975
11-Jul-19,8:59:59,0.2642
11-Jul-19,9:59:59,0.2551
11-Jul-19,10:59:59,0.175
11-Jul-19,11:59:59,0.0475
11-Jul-19,12:59:59,-0.0931
11-Jul-19,13:59:59,-0.2119
11-Jul-19,14:59:59,-0.2807
11-Jul-19,15:59:59,-0.282
11-Jul-19,16:59:59,-0.2123
11-Jul-19,17:59:59,-0.0842
11-Jul-19,18:59:59,0.074
11-Jul-19,19:59:59,0.2236
11-Jul-19,20:59:59,0.3249
11-Jul-19,21:59:59,0.3504
11-Jul-19,22:59:59,0.2931
11-Jul-19,23:59:59,0.1677
12-Jul-19,0:59:59,0.0055
12-Jul-19,1:59:59,-0.156
12-Jul-19,2:59:59,-0.2814
12-Jul-19,3:59:59,-0.344
12-Jul-19,4:59:59,-0.3296
12-Jul-19,5:59:59,-0.2402
12-Jul-19,6:59:59,-0.0956
12-Jul-19,7:59:59,0.0687
12-Jul-19,8:59:59,0.2101
12-Jul-19,9:59:59,0.2913
12-Jul-19,10:59:59,0.2921
12-Jul-19,11:59:59,0.2149
12-Jul-19,12:59:59,0.0825
12-Jul-19,13:59:59,-0.0702
12-Jul-19,14:59:59,-0.2055
12-Jul-19,15:59:59,-0.2912
12-Jul-19,16:59:59,-0.3053
12-Jul-19,17:59:59,-0.2413
12-Jul-19,18:59:59,-0.1108
12-Jul-19,19:59:59,0.0562
12-Jul-19,20:59:59,0.2173
12-Jul-19,21:59:59,0.329
12-Jul-19,22:59:59,0.3608
12-Jul-19,23:59:59,0.304
13-Jul-19,0:59:59,0.1735
13-Jul-19,1:59:59,0.0017
13-Jul-19,2:59:59,-0.1712
13-Jul-19,3:59:59,-0.3061
13-Jul-19,4:59:59,-0.3726
13-Jul-19,5:59:59,-0.3542
13-Jul-19,6:59:59,-0.2528
13-Jul-19,7:59:59,-0.0909
13-Jul-19,8:59:59,0.0915
13-Jul-19,9:59:59,0.2471
13-Jul-19,10:59:59,0.3351
13-Jul-19,11:59:59,0.3341
13-Jul-19,12:59:59,0.2471
13-Jul-19,13:59:59,0.0993
13-Jul-19,14:59:59,-0.0709
13-Jul-19,15:59:59,-0.222
13-Jul-19,16:59:59,-0.3176
13-Jul-19,17:59:59,-0.3335
13-Jul-19,18:59:59,-0.2629
13-Jul-19,19:59:59,-0.1199
13-Jul-19,20:59:59,0.0608
13-Jul-19,21:59:59,0.2319
13-Jul-19,22:59:59,0.3466
13-Jul-19,23:59:59,0.3734
14-Jul-19,0:59:59,0.305
14-Jul-19,1:59:59,0.1596
14-Jul-19,2:59:59,-0.0264
14-Jul-19,3:59:59,-0.2088
14-Jul-19,4:59:59,-0.3451
14-Jul-19,5:59:59,-0.4033
14-Jul-19,6:59:59,-0.3676
14-Jul-19,7:59:59,-0.2435
14-Jul-19,8:59:59,-0.0592
14-Jul-19,9:59:59,0.1396
14-Jul-19,10:59:59,0.3012
14-Jul-19,11:59:59,0.3836
14-Jul-19,12:59:59,0.3671
14-Jul-19,13:59:59,0.2592
14-Jul-19,14:59:59,0.0902
14-Jul-19,15:59:59,-0.0968
14-Jul-19,16:59:59,-0.2561
14-Jul-19,17:59:59,-0.3497
14-Jul-19,18:59:59,-0.354
14-Jul-19,19:59:59,-0.2656
14-Jul-19,20:59:59,-0.1043
14-Jul-19,21:59:59,0.089
14-Jul-19,22:59:59,0.2626
14-Jul-19,23:59:59,0.3684
15-Jul-19,0:59:59,0.377
15-Jul-19,1:59:59,0.2864
15-Jul-19,2:59:59,0.1206
15-Jul-19,3:59:59,-0.0782
15-Jul-19,4:59:59,-0.2622
15-Jul-19,5:59:59,-0.3875
15-Jul-19,6:59:59,-0.4235
15-Jul-19,7:59:59,-0.3591
15-Jul-19,8:59:59,-0.2064
15-Jul-19,9:59:59,-0.001
15-Jul-19,10:59:59,0.2058
15-Jul-19,11:59:59,0.3603
15-Jul-19,12:59:59,0.4225
15-Jul-19,13:59:59,0.3786
15-Jul-19,14:59:59,0.2432
15-Jul-19,15:59:59,0.0534
15-Jul-19,16:59:59,-0.1428
15-Jul-19,17:59:59,-0.298
15-Jul-19,18:59:59,-0.3753
15-Jul-19,19:59:59,-0.3556
15-Jul-19,20:59:59,-0.2423
15-Jul-19,21:59:59,-0.0628
15-Jul-19,22:59:59,0.1361
15-Jul-19,23:59:59,0.3
16-Jul-19,0:59:59,0.383
16-Jul-19,1:59:59,0.3619
16-Jul-19,2:59:59,0.2427
16-Jul-19,3:59:59,0.0573
16-Jul-19,4:59:59,-0.1469
16-Jul-19,5:59:59,-0.3199
16-Jul-19,6:59:59,-0.4201
16-Jul-19,7:59:59,-0.422
16-Jul-19,8:59:59,-0.3223
16-Jul-19,9:59:59,-0.1418
16-Jul-19,10:59:59,0.0768
16-Jul-19,11:59:59,0.2782
16-Jul-19,12:59:59,0.4103
16-Jul-19,13:59:59,0.4394
16-Jul-19,14:59:59,0.3605
16-Jul-19,15:59:59,0.1973
16-Jul-19,16:59:59,-0.0062
16-Jul-19,17:59:59,-0.1991
16-Jul-19,18:59:59,-0.3354
16-Jul-19,19:59:59,-0.3833
16-Jul-19,20:59:59,-0.3316
16-Jul-19,21:59:59,-0.1924
16-Jul-19,22:59:59,-0.001
16-Jul-19,23:59:59,0.1917
17-Jul-19,0:59:59,0.332
17-Jul-19,1:59:59,0.3802
17-Jul-19,2:59:59,0.3223
17-Jul-19,3:59:59,0.1746
17-Jul-19,4:59:59,-0.0234
17-Jul-19,5:59:59,-0.2206
17-Jul-19,6:59:59,-0.3686
17-Jul-19,7:59:59,-0.4313
17-Jul-19,8:59:59,-0.3919
17-Jul-19,9:59:59,-0.257
17-Jul-19,10:59:59,-0.0562
17-Jul-19,11:59:59,0.1622
17-Jul-19,12:59:59,0.3428
17-Jul-19,13:59:59,0.4388
17-Jul-19,14:59:59,0.4263
17-Jul-19,15:59:59,0.3112
17-Jul-19,16:59:59,0.1268
17-Jul-19,17:59:59,-0.0783
17-Jul-19,18:59:59,-0.2532
17-Jul-19,19:59:59,-0.3571
17-Jul-19,20:59:59,-0.367
17-Jul-19,21:59:59,-0.2813
17-Jul-19,22:59:59,-0.1218
17-Jul-19,23:59:59,0.0705
18-Jul-19,0:59:59,0.2433
18-Jul-19,1:59:59,0.3478
18-Jul-19,2:59:59,0.3536
18-Jul-19,3:59:59,0.2586
18-Jul-19,4:59:59,0.089
18-Jul-19,5:59:59,-0.1095
18-Jul-19,6:59:59,-0.2857
18-Jul-19,7:59:59,-0.3962
18-Jul-19,8:59:59,-0.4138
18-Jul-19,9:59:59,-0.3328
18-Jul-19,10:59:59,-0.1697
18-Jul-19,11:59:59,0.0385
18-Jul-19,12:59:59,0.2412
18-Jul-19,13:59:59,0.387
18-Jul-19,14:59:59,0.4378
18-Jul-19,15:59:59,0.3818
18-Jul-19,16:59:59,0.2364
18-Jul-19,17:59:59,0.0423
18-Jul-19,18:59:59,-0.1498
18-Jul-19,19:59:59,-0.2934
18-Jul-19,20:59:59,-0.3562
18-Jul-19,21:59:59,-0.3257
18-Jul-19,22:59:59,-0.211
18-Jul-19,23:59:59,-0.0414
19-Jul-19,0:59:59,0.1385
19-Jul-19,1:59:59,0.2793
19-Jul-19,2:59:59,0.3405
19-Jul-19,3:59:59,0.3033
19-Jul-19,4:59:59,0.1774
19-Jul-19,5:59:59,-0.0022
19-Jul-19,6:59:59,-0.1871
19-Jul-19,7:59:59,-0.3298
19-Jul-19,8:59:59,-0.3951
19-Jul-19,9:59:59,-0.3671
19-Jul-19,10:59:59,-0.251
19-Jul-19,11:59:59,-0.0722
19-Jul-19,12:59:59,0.1283
19-Jul-19,13:59:59,0.3014
19-Jul-19,14:59:59,0.4028
19-Jul-19,15:59:59,0.4061
19-Jul-19,16:59:59,0.3118
19-Jul-19,17:59:59,0.1473
19-Jul-19,18:59:59,-0.0423
19-Jul-19,19:59:59,-0.2084
19-Jul-19,20:59:59,-0.312
19-Jul-19,21:59:59,-0.3313
19-Jul-19,22:59:59,-0.2652
19-Jul-19,23:59:59,-0.1316
20-Jul-19,0:59:59,0.035
20-Jul-19,1:59:59,0.1908
20-Jul-19,2:59:59,0.2922
20-Jul-19,3:59:59,0.3092
20-Jul-19,4:59:59,0.2353
20-Jul-19,5:59:59,0.0904
20-Jul-19,6:59:59,-0.0851
20-Jul-19,7:59:59,-0.2439
20-Jul-19,8:59:59,-0.3452
20-Jul-19,9:59:59,-0.3646
20-Jul-19,10:59:59,-0.2974
20-Jul-19,11:59:59,-0.1585
20-Jul-19,12:59:59,0.0213
20-Jul-19,13:59:59,0.2002
20-Jul-19,14:59:59,0.3343
20-Jul-19,15:59:59,0.3889
20-Jul-19,16:59:59,0.3497
20-Jul-19,17:59:59,0.2281
20-Jul-19,18:59:59,0.0583
20-Jul-19,19:59:59,-0.114
20-Jul-19,20:59:59,-0.2456
20-Jul-19,21:59:59,-0.3071
20-Jul-19,22:59:59,-0.2879
20-Jul-19,23:59:59,-0.1964
21-Jul-19,0:59:59,-0.0568
21-Jul-19,1:59:59,0.0953
21-Jul-19,2:59:59,0.2195
21-Jul-19,3:59:59,0.2807
21-Jul-19,4:59:59,0.2598
21-Jul-19,5:59:59,0.1609
21-Jul-19,6:59:59,0.0112
21-Jul-19,7:59:59,-0.1474
21-Jul-19,8:59:59,-0.2722
21-Jul-19,9:59:59,-0.3312
21-Jul-19,10:59:59,-0.311
21-Jul-19,11:59:59,-0.2167
21-Jul-19,12:59:59,-0.0696
21-Jul-19,13:59:59,0.0974
21-Jul-19,14:59:59,0.2456
21-Jul-19,15:59:59,0.3384
21-Jul-19,16:59:59,0.3512
21-Jul-19,17:59:59,0.2804
21-Jul-19,18:59:59,0.1452
21-Jul-19,19:59:59,-0.017
21-Jul-19,20:59:59,-0.1635
21-Jul-19,21:59:59,-0.2588
21-Jul-19,22:59:59,-0.2835
21-Jul-19,23:59:59,-0.2364
22-Jul-19,0:59:59,-0.1326
22-Jul-19,1:59:59,0.0012
22-Jul-19,2:59:59,0.1312
22-Jul-19,3:59:59,0.223
22-Jul-19,4:59:59,0.2504
22-Jul-19,5:59:59,0.2034
22-Jul-19,6:59:59,0.0938
22-Jul-19,7:59:59,-0.0477
22-Jul-19,8:59:59,-0.1813
22-Jul-19,9:59:59,-0.2709
22-Jul-19,10:59:59,-0.2942
22-Jul-19,11:59:59,-0.2466
22-Jul-19,12:59:59,-0.14
22-Jul-19,13:59:59,0.0017
22-Jul-19,14:59:59,0.147
22-Jul-19,15:59:59,0.2624
22-Jul-19,16:59:59,0.319
22-Jul-19,17:59:59,0.3011
22-Jul-19,18:59:59,0.2126
22-Jul-19,19:59:59,0.077
22-Jul-19,20:59:59,-0.0689
22-Jul-19,21:59:59,-0.1878
22-Jul-19,22:59:59,-0.2521
22-Jul-19,23:59:59,-0.251
23-Jul-19,0:59:59,-0.1897
23-Jul-19,1:59:59,-0.0859
23-Jul-19,2:59:59,0.0344
23-Jul-19,3:59:59,0.1414
23-Jul-19,4:59:59,0.207
23-Jul-19,5:59:59,0.2122
23-Jul-19,6:59:59,0.1535
23-Jul-19,7:59:59,0.0464
23-Jul-19,8:59:59,-0.0785
23-Jul-19,9:59:59,-0.1858
23-Jul-19,10:59:59,-0.2466
23-Jul-19,11:59:59,-0.2463
23-Jul-19,12:59:59,-0.1864
23-Jul-19,13:59:59,-0.0813
23-Jul-19,14:59:59,0.0459
23-Jul-19,15:59:59,0.1675
23-Jul-19,16:59:59,0.2553
23-Jul-19,17:59:59,0.2871
23-Jul-19,18:59:59,0.2527
23-Jul-19,19:59:59,0.16
23-Jul-19,20:59:59,0.0331
23-Jul-19,21:59:59,-0.0944
23-Jul-19,22:59:59,-0.1908
23-Jul-19,23:59:59,-0.2354
24-Jul-19,0:59:59,-0.2224
24-Jul-19,1:59:59,-0.1595
24-Jul-19,2:59:59,-0.0639
24-Jul-19,3:59:59,0.0416
24-Jul-19,4:59:59,0.1315
24-Jul-19,5:59:59,0.1826
24-Jul-19,6:59:59,0.18
24-Jul-19,7:59:59,0.1228
24-Jul-19,8:59:59,0.0269
24-Jul-19,9:59:59,-0.0799
24-Jul-19,10:59:59,-0.1671
24-Jul-19,11:59:59,-0.2114
24-Jul-19,12:59:59,-0.2028
24-Jul-19,13:59:59,-0.1446
24-Jul-19,14:59:59,-0.0502
24-Jul-19,15:59:59,0.0603
24-Jul-19,16:59:59,0.1634
24-Jul-19,17:59:59,0.2352
24-Jul-19,18:59:59,0.2565
24-Jul-19,19:59:59,0.2195
24-Jul-19,20:59:59,0.132
24-Jul-19,21:59:59,0.0164
24-Jul-19,22:59:59,-0.0975
24-Jul-19,23:59:59,-0.1824
25-Jul-19,0:59:59,-0.2211
25-Jul-19,1:59:59,-0.2093
25-Jul-19,2:59:59,-0.1534
25-Jul-19,3:59:59,-0.0676
25-Jul-19,4:59:59,0.0287
25-Jul-19,5:59:59,0.113
25-Jul-19,6:59:59,0.1639
25-Jul-19,7:59:59,0.1665
25-Jul-19,8:59:59,0.1195
25-Jul-19,9:59:59,0.0364
25-Jul-19,10:59:59,-0.0582
25-Jul-19,11:59:59,-0.1373
25-Jul-19,12:59:59,-0.1803
25-Jul-19,13:59:59,-0.1776
25-Jul-19,14:59:59,-0.1308
25-Jul-19,15:59:59,-0.0498
25-Jul-19,16:59:59,0.0491
25-Jul-19,17:59:59,0.1452
25-Jul-19,18:59:59,0.2154
25-Jul-19,19:59:59,0.2402
25-Jul-19,20:59:59,0.2102
25-Jul-19,21:59:59,0.131
25-Jul-19,22:59:59,0.0224
25-Jul-19,23:59:59,-0.0883
26-Jul-19,0:59:59,-0.1753
26-Jul-19,1:59:59,-0.2212
26-Jul-19,2:59:59,-0.2192
26-Jul-19,3:59:59,-0.1722
26-Jul-19,4:59:59,-0.0908
26-Jul-19,5:59:59,0.0075
26-Jul-19,6:59:59,0.1003
26-Jul-19,7:59:59,0.1638
26-Jul-19,8:59:59,0.1803
26-Jul-19,9:59:59,0.1451
26-Jul-19,10:59:59,0.069
26-Jul-19,11:59:59,-0.0253
26-Jul-19,12:59:59,-0.1113
26-Jul-19,13:59:59,-0.1673
26-Jul-19,14:59:59,-0.1805
26-Jul-19,15:59:59,-0.1479
26-Jul-19,16:59:59,-0.0754
26-Jul-19,17:59:59,0.0232
26-Jul-19,18:59:59,0.1265
26-Jul-19,19:59:59,0.2089
26-Jul-19,20:59:59,0.2468
26-Jul-19,21:59:59,0.2269
26-Jul-19,22:59:59,0.1519
26-Jul-19,23:59:59,0.0403
